20170228;421
CD_ENTITY;DT_PERIOD;CD_TEAM;CD_INDIVIDUAL;CD_CLIENT;CD_FACTTYPE;CD_TYPEMDT;CD_PRODUCT;AM_AMOUNT;CCY;MICA_NODE;CATEGORY;UNIT_TYPE;CD_LEVEL;ROLE
600;20170228;FR35890;;;COST;CH10150;PR04060550;-6241.15;EUR;MP10150030502;Actual;;;0
600;20170228;FR02890;;;COST;CH10150;PR04060550;-6138.95983;EUR;MP10150010202;Actual;;;0
600;20170228;FR00892;;;COST;CH10150;PR04060550;-6056.35598;EUR;MP10150010602;Actual;;;0
600;20170228;FR31890;;;COST;CH10150;PR04060550;-5716.31029;EUR;MP10150010603;Actual;;;0
600;20170228;FR00890;;;COST;CH10150;PR04060550;-5416.66;EUR;MP10150010103;Actual;;;0
600;20170228;FR02890;;;COST;CH10150;PR04060550;-5266.60417;EUR;MP10150030505;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-4709.20598;EUR;MP10150030207;Actual;;;0
600;20170228;FR00890;;;COST;CH10150;PR04060550;-4493.51;EUR;MP10150030207;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-3929.89;EUR;MP10150020100;Actual;;;0
600;20170228;FR40890;;;COST;CH10150;PR04060550;-3898.98278;EUR;MP10150010202;Actual;;;0
600;20170228;FR38890;;;COST;CH10150;PR04060550;-3672.78256;EUR;MP10150010202;Actual;;;0
600;20170228;FR38890;;;COST;CH10150;PR04060550;-3403.87599;EUR;MP10150010603;Actual;;;0
600;20170228;FR00897;;;COST;CH10150;PR04060550;-3398.5238;EUR;MP10150010603;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-3336.73;EUR;MP10150030502;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-3313.75;EUR;MP10150030502;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-3187.92676;EUR;MP10150010603;Actual;;;0
600;20170228;FR08890;;;COST;CH10150;PR04060550;-3099.4981;EUR;MP10150010603;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-3017.72647;EUR;MP10150030207;Actual;;;0
600;20170228;FR00897;;;COST;CH10150;PR04060550;-2997.4;EUR;MP10150010701;Actual;;;0
600;20170228;FR35890;;;COST;CH10150;PR04060550;-2961.54921;EUR;MP10150010202;Actual;;;0
600;20170228;FR00890;;;COST;CH10150;PR04060550;-2898.52000000005;EUR;MP10150030607;Actual;;;0
600;20170228;FR34890;;;COST;CH10150;PR04060550;-2832.83705;EUR;MP10150010603;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-2733.04917;EUR;MP10150010603;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-2598.84938;EUR;MP10150010603;Actual;;;0
600;20170228;FR01890;;;COST;CH10150;PR04060550;-2589.35587;EUR;MP10150010603;Actual;;;0
600;20170228;FR04890;;;COST;CH10150;PR04060550;-2532.34887;EUR;MP10150010101;Actual;;;0
600;20170228;FR00890;;;COST;CH10150;PR04060550;-2523.6;EUR;MP10150030605;Actual;;;0
600;20170228;FR02890;;;COST;CH10150;PR04060550;-2515.06877;EUR;MP10150010603;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-2451.10473;EUR;MP10150010202;Actual;;;0
600;20170228;FR60890;;;COST;CH10150;PR04060550;-2422.11791;EUR;MP10150010202;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-2212.24;EUR;MP10150010701;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-2043.75;EUR;MP10150030502;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-1968.5;EUR;MP10150020402;Actual;;;0
600;20170228;FR03890;;;COST;CH10150;PR04060550;-1898.57;EUR;MP10150030605;Actual;;;0
600;20170228;FR31890;;;COST;CH10150;PR04060550;-1817.63;EUR;MP10150010701;Actual;;;0
600;20170228;FR01890;;;COST;CH10150;PR04060550;-1811.08904;EUR;MP10150030207;Actual;;;0
600;20170228;FR00892;;;COST;CH10150;PR04060550;-1721.41173;EUR;MP10150010202;Actual;;;0
